2010 (83rd),Music (Scoring),Inception,NO
2010 (83rd),Music (Scoring),The King's Speech,NO
2010 (83rd),Music (Scoring),127 Hours,NO
2010 (83rd),Music (Scoring),The Social Network,YES
2010 (83rd),Music (Song),Country Strong,NO
2010 (83rd),Music (Song),Tangled,NO
2010 (83rd),Music (Song),127 Hours,NO
2010 (83rd),Music (Song),Toy Story 3,YES
2010 (83rd),Best Picture,Black Swan,NO
2010 (83rd),Best Picture,The Fighter,NO
2010 (83rd),Best Picture,Inception,NO
2010 (83rd),Best Picture,The Kids Are All Right,NO
2010 (83rd),Best Picture,The King's Speech,YES
2010 (83rd),Best Picture,127 Hours,NO
2010 (83rd),Best Picture,The Social Network,NO
2010 (83rd),Best Picture,Toy Story 3,NO
2010 (83rd),Best Picture,True Grit,NO
2010 (83rd),Best Picture,Winter's Bone,NO
2010 (83rd),Short Film (Animated),Day & Night,NO
2010 (83rd),Short Film (Animated),The Gruffalo,NO
2010 (83rd),Short Film (Animated),Let's Pollute,NO
2010 (83rd),Short Film (Animated),The Lost Thing,YES
2010 (83rd),Short Film (Animated),"Madagascar, carnet de voyage (Madagascar, a Journey Diary)",NO
2010 (83rd),Short Film (Live Action),The Confession,NO
2010 (83rd),Short Film (Live Action),The Crush,NO
2010 (83rd),Short Film (Live Action),God of Love,YES
2010 (83rd),Short Film (Live Action),Na Wewe,NO
2010 (83rd),Short Film (Live Action),Wish 143,NO
2010 (83rd),Sound,Inception,YES
2010 (83rd),Sound,The King's Speech,NO
2010 (83rd),Sound,Salt,NO
2010 (83rd),Sound,The Social Network,NO
2010 (83rd),Sound,True Grit,NO
2010 (83rd),Sound Editing,Inception,YES
2010 (83rd),Sound Editing,Toy Story 3,NO
2010 (83rd),Sound Editing,Tron: Legacy,NO
2010 (83rd),Sound Editing,True Grit,NO
2010 (83rd),Sound Editing,Unstoppable,NO
2010 (83rd),Visual Effects,Alice in Wonderland,NO
